id	name	formula	charge	aliases
cpd11538	13-methyl-3-hydroxy-tetra-decanoyl-ACP	C26H49N2O9PRS	-1	
cpd15294	Tetradecenoyl-ACP	C25H45N2O8PRS	-1	
cpd15330	1-tetradec-7-enoyl-sn-glycerol 3-phosphate	C17H32O7P	-1	
cpd03122	(S)-Hydroxyhexanoyl-CoA	C27H43N7O18P3S	-3	
cpd03125	(2E)-Hexenoyl-CoA	C27H41N7O17P3S	-3	
cpd11482	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	C21H39N2O9PRS	-1	
cpd11487	3-oxodecanoyl-acp	C21H37N2O9PRS	-1	
cpd00156	L-Valine	C5H11NO2	0	
cpd00214	Palmitate	C16H31O2	-1	
cpd03445	2-Octaprenyl-6-hydroxyphenol	C46H70O2	0	
cpd03444	2-Octaprenylphenol	C46H70O	0	
cpd15526	1,2-dioctadecanoyl-sn-glycerol 3-phosphate	C39H76O8P	-1	
cpd00531	Hg2+	Hg	2	
cpd15767	Isoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	C313H548N24O255P24	-24	
cpd15749	Isoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted	C121H236O135P24	-24	
cpd00038	GTP	C10H13N5O14P3	-3	
cpd00031	GDP	C10H13N5O11P2	-2	
cpd00048	Sulfate	O4S	-2	
cpd01977	4-Phospho-L-aspartate	C4H7NO7P	-1	
cpd00171	D-Ribulose5-phosphate	C5H10O8P	-1	
cpd00283	Geranyldiphosphate	C10H18O7P2	-2	
cpd03487	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine	C94H153N8O26P2	-3	
cpd03488	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutaminyl-L-lysyl-D-alanyl-D-alanine	C94H155N9O25P2	-2	
cpd00482	2-Phospho-D-glycerate	C3H5O7P	-2	
cpd00876	3-Hydroxyisobutyrate	C4H7O3	-1	
cpd15661	Prenol-45n teichoic acid	C206H386N2O242P47	-47	
cpd15667	glycerol teichoic acid (n=45), linked, unsubstituted	C191H359N10O259P46R	-48	
cpd00201	10-Formyltetrahydrofolate	C20H21N7O7	-2	
cpd02394	GAR	C7H15N2O8P	0	
cpd00635	Cbl	C62H89CoN13O14P	0	
cpd11588	gly-pro-L	C7H12N2O3	0	
cpd15673	1-isotetradecanoyl-sn-glycerol 3-phosphate	C17H34O7P	-1	
cpd15585	beta-Methylglucoside	C7H14O6	0	
cpd00760	2-Methylbutyryl-CoA	C26H41N7O17P3S	-3	
cpd14703	S-(2-Methylbutanoyl)-dihydrolipoamide-E	C13H25NO2S2	0	
cpd11591	Gly-Met	C7H14N2O3S	0	
cpd11496	4-methyl-3-oxo-hexanoyl-ACP	C18H31N2O9PRS	-1	
cpd11497	4-methyl-3-hydroxy-hexanoyl-ACP	C18H33N2O9PRS	-1	
cpd02465	tetrahydrodipicolinate	C7H7NO4	-2	
cpd02724	N-Succinyl-L-2-amino-6-oxopimelate	C11H12NO8	-3	
cpd00026	UDP-glucose	C15H22N2O17P2	-2	
cpd03123	3-Oxohexanoyl-CoA	C27H41N7O18P3S	-3	
cpd15523	1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate	C31H56O8P	-1	
cpd00241	dGTP	C10H13N5O13P3	-3	
cpd00277	Deoxyguanosine	C10H13N5O4	0	
cpd15269	octadecenoate	C18H33O2	-1	
cpd15274	Octadecenoyl-CoA	C39H65N7O17P3S	-3	
cpd03200	Manninotriose	C18H32O16	0	
cpd03198	Melibiose	C12H22O11	0	
cpd02125	Tiglyl-CoA	C26H39N7O17P3S	-3	
cpd15753	Anteisopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted	C117H228O135P24	-24	
cpd15771	Anteisopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	C309H540N24O255P24	-24	
cpd03126	(2E)-Hexadecenoyl-CoA	C37H61N7O17P3S	-3	
cpd11550	6-methyl-3-oxo-heptanoyl-ACP	C19H33N2O9PRS	-1	
cpd11551	6-methyl-3-hydroxy-heptanoyl-ACP	C19H35N2O9PRS	-1	
cpd00058	Cu2+	Cu	2	
cpd01914	L-Methionine S-oxide	C5H11NO3S	0	
cpd01217	Xanthosine	C10H12N4O6	0	
cpd15679	1,2-diisotetradecanoyl-sn-glycerol 3-phosphate	C31H60O8P	-1	
cpd01133	Stachyose	C24H42O21	0	
cpd11541	15-methyl-3-oxo-hexa-decanoyl-ACP	C28H51N2O9PRS	-1	
cpd11542	15-methyl-3-hydroxy-hexa-decanoyl-ACP	C28H53N2O9PRS	-1	
cpd01871	3-Methylcatechol	C7H8O2	0	
cpd09791	3-Methylsalicylate	C8H7O3	-1	
cpd04097	Pb	Pb	2	
cpd00149	Co2+	Co	2	
cpd02255	3-oxoadipate-enol-lactone	C6H5O4	-1	
cpd00630	3-Oxoadipate	C6H6O5	-2	
cpd00341	N-Carbamoylputrescine	C5H14N3O	1	
cpd00152	Agmatine	C5H16N4	2	
cpd00247	Orotate	C5H3N2O4	-1	
cpd12005	Lipoylprotein	CHRS2	0	
cpd12225	Dihydrolipolprotein	CH3RS2	0	
cpd03128	Decanoyl-CoA	C31H51N7O17P3S	-3	
cpd00223	Glycerate	C3H5O4	-1	
cpd11579	ethanesulfonate	C2H5O3S	-1	
cpd00946	Undecaprenyl diphospho N-acetyl-glucosamine	C63H103NO12P2	-2	
cpd00064	Ornithine	C5H13N2O2	1	
cpd00342	N-Acetylornithine	C7H14N2O3	0	
cpd02083	CoproporphyrinogenIII	C36H40N4O8	-4	
cpd00073	Urea	CH4N2O	0	
cpd15238	Hexadecenoyl-CoA	C37H61N7O17P3S	-3	
cpd15237	hexadecenoate	C16H29O2	-1	
cpd00202	DMAPP	C5H10O7P2	-2	
cpd15668	glycerol teichoic acid (n=45), linked, D-ala substituted	C326H584N55O304P46R	-48	
cpd15663	Prenol-45n teichoic acid-alanine substituted	C341H611N47O287P47	-47	
cpd11526	7-methyl-3-hydroxy-octanoyl-ACP	C20H37N2O9PRS	-1	
cpd11525	7-methyl-3-oxo-octanoyl-ACP	C20H35N2O9PRS	-1	
cpd00423	Vitamin B12r	C62H89CoN13O14P	1	
cpd03130	(2E)-Octenoyl-CoA	C29H45N7O17P3S	-3	
cpd00830	4-Hydroxy-2-oxoglutarate	C5H4O6	-2	
cpd01974	4-Hydroxy-L-glutamate	C5H8NO5	-1	
cpd02700	S-(2-Methylpropionyl)-dihydrolipoamide	C12H23NO2S2	0	
cpd00367	Cytidine	C9H13N3O5	0	
cpd00068	ITP	C10H12N4O14P3	-3	
cpd00090	IDP	C10H12N4O11P2	-2	
cpd11517	14-methyl-3-hydroxy-hexa-decanoyl-ACP	C28H53N2O9PRS	-1	
cpd11516	14-methyl-3-oxo-hexa-decanoyl-ACP	C28H51N2O9PRS	-1	
cpd15770	Isopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	C309H540N24O255P24	-24	
cpd15752	Isopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted	C117H228O135P24	-24	
cpd08287	4--cytidine5-diphospho-2-C-methyl-D-erythritol	C14H23N3O14P2	-2	
cpd08286	2-C-methyl-D-erythritol4-phosphate	C5H12O7P	-1	
cpd00731	Ala-Ala	C6H12N2O3	0	
cpd00519	D-methylmalonyl-CoA	C25H36N7O19P3S	-4	
cpd01335	Octanoyl-CoA	C29H47N7O17P3S	-3	
cpd11596	butanesulfonate	C4H9O3S	-1	
cpd01011	Butanal	C4H8O	0	
cpd10516	fe3	Fe	3	
cpd08625	5-Hydroxyisourate	C5H4N4O4	0	
cpd01567	(R)-Allantoin	C4H6N4O3	0	
cpd01092	Allantoin	C4H6N4O3	0	
cpd00858	L-Glutamate5-semialdehyde	C5H9NO3	0	
cpd04539	2-Amino-3-oxo-4-phosphonooxybutyrate	C4H7NO7P	-1	
cpd08449	3-Amino-2-oxopropyl phosphate	C3H8NO5P	0	
cpd02414	L-2-Amino-6-oxopimelate	C7H10NO5	-1	
cpd01101	Carbamate	CH2NO2	-1	
cpd02211	L-2-Amino-acetoacetate	C4H7NO3	0	
cpd01298	Aminoacetone	C3H8NO	1	
cpd09027	5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate	C5H5N4O5	-1	
cpd02522	2-Aminoadipate 6-semialdehyde	C6H11NO3	0	
cpd00352	delta1-Piperideine-6-L-carboxylate	C6H8NO2	-1	
cpd00922	delta1-Piperideine-2-carboxylate	C6H8NO2	-1	
cpd02074	2-Oxo-6-aminocaproate	C6H11NO3	0	
cpd15723	Dianteisoheptadecanoylphosphatidylglycerol	C40H78O10P	-1	
cpd00015	FAD	C27H31N9O15P2	-2	
cpd15695	Diisoheptadecanoylphosphatidylethanolamine	C39H78NO8P	0	
cpd15722	Diisoheptadecanoylphosphatidylglycerol	C40H78O10P	-1	
cpd00034	Zn2+	Zn	2	
cpd15432	core oligosaccharide lipid A	C176H307N2O100P4	-7	
cpd15665	Peptidoglycan polymer (n subunits)	C80H125N16O42R	-4	
cpd15696	Dianteisoheptadecanoylphosphatidylethanolamine	C39H78NO8P	0	
cpd01997	Dimethylbenzimidazole	C9H10N2	0	
cpd00557	Siroheme	C42H36FeN4O16	-8	
cpd03422	Cobinamide	C48H73CoN11O8	3	
cpd15793	Stearoylcardiolipin (B. subtilis)	C81H156O17P2	-2	
cpd00264	Spermidine	C7H22N3	3	
cpd00030	Mn2+	Mn	2	
cpd00118	Putrescine	C4H14N2	2	
cpd15540	Phosphatidylglycerol dioctadecanoyl	C42H82O10P	-1	
cpd15794	Isoheptadecanoylcardiolipin (B. subtilis)	C77H148O17P2	-2	
cpd00065	L-Tryptophan	C11H12N2O2	0	
cpd00220	Riboflavin	C17H20N4O6	0	
cpd00063	Ca2+	Ca	2	
cpd00356	dCTP	C9H13N3O13P3	-3	
cpd15795	Anteisoheptadecanoylcardiolipin (B. subtilis)	C77H148O17P2	-2	
cpd11416	Biomass		0	
cpd00016	Pyridoxal phosphate	C8H9NO6P	-1	
cpd00166	Calomide	C72H101CoN18O17P	1	
cpd00205	K+	K	1	
cpd00115	dATP	C10H13N5O12P3	-3	
cpd00017	S-Adenosyl-L-methionine	C15H23N6O5S	1	
cpd15533	phosphatidylethanolamine dioctadecanoyl	C41H82NO8P	0	
cpd00051	L-Arginine	C6H15N4O2	1	
