id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn05149_c0	=>	c0	() and (FNEB7-bin-3.genome.CDS.4624) and () and (FNEB7-bin-3.genome.CDS.4623)	ABC-type manganese permease complex_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00002[c0] + (1) cpd00030[e0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00030[c0] + (1) cpd00067[c0]
rxn08549_c0	=>	c0	(FNEB7-bin-3.genome.CDS.5018) or ((FNEB7-bin-3.genome.CDS.7365) and (FNEB7-bin-3.genome.CDS.5663))	glycerol-3-phosphate acyltransferase (C16:0)_c0	Unknown	Unknown	None	(2) cpd00067[c0] + (1) cpd00080[c0] + (1) cpd15277[c0] => (1) cpd11493[c0] + (1) cpd15327[c0]
rxn05468_c0	<=>	c0		TRANS-RXNAVI-26568.ce_c0	Unknown	Unknown	None	(1) cpd00007[e0] <=> (1) cpd00007[c0]
rxn09345_c0	<=>	c0	FNEB7-bin-3.genome.CDS.5698	Undecaprenyl diphosphate synthase_c0	Unknown	Unknown	None	(8) cpd00113[c0] + (1) cpd00350[c0] <=> (8) cpd00012[c0] + (8) cpd00067[c0] + (1) cpd02229[c0]
rxn04454_c0	=>	c0	FNEB7-bin-3.genome.CDS.6391	isochorismate pyruvate-lyase (salicylate-forming)_c0	Unknown	Unknown	None	(1) cpd00658[c0] => (1) cpd00020[c0] + (1) cpd00599[c0]
rxn01633_c0	=>	c0	(FNEB7-bin-3.genome.CDS.4251) or (FNEB7-bin-3.genome.CDS.5066)	2-Dehydro-3-deoxy-L-arabinonate hydro-lyase_c0	Unknown	Unknown	None	(1) cpd00520[c0] => (1) cpd00001[c0] + (1) cpd00340[c0]
rxn01466_c0	=>	c0	(() and () and (FNEB7-bin-3.genome.CDS.4940) and (FNEB7-bin-3.genome.CDS.5119)) or (FNEB7-bin-3.genome.CDS.5119)	Geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase_c0	Unknown	Unknown	None	(1) cpd00113[c0] + (1) cpd00283[c0] => (1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd00350[c0]
rxn05106_c0	=>	c0	FNEB7-bin-3.genome.CDS.6084	2-hydroxy-5-(methylthio)-3-oxopent-1-enyl phosphate phosphohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11296[c0] => (1) cpd00009[c0] + (1) cpd11255[c0]
rxn03409_c0	=>	c0	FNEB7-bin-3.genome.CDS.7370	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00013[c0] + (1) cpd03495[c0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd03496[c0]
rxn00974_c0	<=>	c0	() and (FNEB7-bin-3.genome.CDS.6356)	citrate hydro-lyase (cis-aconitate-forming)_c0	Unknown	Unknown	None	(1) cpd00137[c0] <=> (1) cpd00001[c0] + (1) cpd00331[c0]
rxn02962_c0	<=>	c0	FNEB7-bin-3.genome.CDS.4550	R04248_c0	Unknown	Unknown	None	(1) cpd00025[c0] + (1) cpd02233[c0] <=> (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd00162[c0]
rxn04601_c0	=>	c0	FNEB7-bin-3.genome.CDS.4587	3-(3-hydroxyphenyl)propanoate,NADH:oxygen oxidoreductase (2-hydroxylating)_c0	Unknown	Unknown	None	(1) cpd00004[c0] + (1) cpd00007[c0] + (1) cpd00067[c0] + (1) cpd08304[c0] => (1) cpd00001[c0] + (1) cpd00003[c0] + (1) cpd02501[c0]
rxn00605_c0	<=>	c0	FNEB7-bin-3.genome.CDS.4645	UDP-glucose:D-glucose-6-phosphate 1-alpha-D-glucosyltransferase_c0	Unknown	Unknown	None	(1) cpd00026[c0] + (1) cpd00079[c0] <=> (1) cpd00014[c0] + (1) cpd00523[c0]
