AAA028I14.genome.CDS.1176,group00190
AAA028I14.genome.CDS.998,group01196
AAA028I14.genome.CDS.1177,group00296
AAA028I14.genome.CDS.1309,group00196
AAA028I14.genome.CDS.1308,group00295
AAA028I14.genome.CDS.876,group00324
AAA028I14.genome.CDS.1301,group00193
AAA028I14.genome.CDS.1300,group00591
AAA028I14.genome.CDS.1303,group00086
AAA028I14.genome.CDS.1302,group00188
AAA028I14.genome.CDS.939,group00015
AAA028I14.genome.CDS.1304,group00084
AAA028I14.genome.CDS.1307,group00334
AAA028I14.genome.CDS.979,group13342
AAA028I14.genome.CDS.1415,group03743
AAA028I14.genome.CDS.4,group04591
AAA028I14.genome.CDS.1086,group00458
AAA028I14.genome.CDS.1518,group01950
AAA028I14.genome.CDS.970,group00489
AAA028I14.genome.CDS.1127,group00488
AAA028I14.genome.CDS.971,group00733
AAA028I14.genome.CDS.1089,group00909
AAA028I14.genome.CDS.633,group13311
AAA028I14.genome.CDS.1002,group00073
AAA028I14.genome.CDS.1003,group01104
AAA028I14.genome.CDS.1000,group01284
AAA028I14.genome.CDS.1001,group02059
AAA028I14.genome.CDS.1006,group04951
AAA028I14.genome.CDS.1007,group01187
AAA028I14.genome.CDS.1004,group02355
AAA028I14.genome.CDS.1005,group01259
AAA028I14.genome.CDS.1008,group01791
AAA028I14.genome.CDS.1009,group00867
AAA028I14.genome.CDS.1439,group04599
AAA028I14.genome.CDS.1438,group04600
AAA028I14.genome.CDS.1433,group00209
AAA028I14.genome.CDS.1432,group00511
AAA028I14.genome.CDS.1431,group00171
AAA028I14.genome.CDS.1430,group00008
AAA028I14.genome.CDS.1437,group04601
AAA028I14.genome.CDS.1436,group00039
AAA028I14.genome.CDS.1435,group00087
AAA028I14.genome.CDS.1434,group00103
AAA028I14.genome.CDS.1488,group03145
AAA028I14.genome.CDS.1489,group04607
AAA028I14.genome.CDS.1486,group04605
AAA028I14.genome.CDS.1487,group04606
AAA028I14.genome.CDS.1484,group04603
AAA028I14.genome.CDS.1485,group04604
AAA028I14.genome.CDS.1482,group02388
AAA028I14.genome.CDS.1483,group03609
AAA028I14.genome.CDS.1480,group01125
AAA028I14.genome.CDS.1481,group04602
AAA028I14.genome.CDS.1558,group00697
AAA028I14.genome.CDS.1559,group00832
AAA028I14.genome.CDS.916,group01795
AAA028I14.genome.CDS.917,group02842
AAA028I14.genome.CDS.914,group01679
AAA028I14.genome.CDS.915,group01895
AAA028I14.genome.CDS.912,group01014
AAA028I14.genome.CDS.913,group02320
AAA028I14.genome.CDS.910,group00952
AAA028I14.genome.CDS.1508,group02217
AAA028I14.genome.CDS.1507,group13321
AAA028I14.genome.CDS.1506,group04595
AAA028I14.genome.CDS.1505,group03744
AAA028I14.genome.CDS.1504,group03743
