,CommonName,Metabolite,acI-A1,acI-A5,acI-A6,acI-A7,acI-B1,acI-B4,acSTL-A1,acTH1-A1,Iluma-A2,Iluma-B1,Luna1-A2,Luna1-A4
100,14-methyl-trans-hexa-dec-2-enoyl-ACP,cpd11518_c,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
101,1-isoheptadecanoyl-sn-glycerol_3-phosphate,cpd15671_c,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
102,Glycerophosphocholine,cpd00507_c,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
103,4-methyl-trans-hex-2-enoyl-ACP,cpd11498_c,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
104,1-anteisopentadecanoyl-sn-glycerol_3-phosphate,cpd15675_c,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
105,L-Glutamate5-semialdehyde,cpd00858_c,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
106,1-isotetradecanoyl-sn-glycerol_3-phosphate,cpd15673_c,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
107,Gly-Met,cpd11591_e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
108,Gly-Cys,cpd15603_e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
109,8-methyl-trans-non-2-enoyl-ACP,cpd11556_c,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
110,meso-2_6-Diaminopimelate,cpd00516_c,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,1.0,0.5,0.0
111,Ni2,cpd00244_e,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
112,H2S2O3,cpd00268_c,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
113,ala-L-asp-L,cpd11593_e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
114,Cytidine,cpd00367_c,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
115,Gluconolactone,cpd00170_c,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Pretyrosine,cpd00616_c,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
117,tRNA-Glu,cpd11912_c,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
118,O-Acetyl-L-serine,cpd00722_c,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
119,Dodecanoyl-ACP,cpd11468_c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,D-Proline,cpd00567_c,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,1-isohexadecanoyl-sn-glycerol_3-phosphate,cpd15676_c,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
122,tetrahydrodipicolinate,cpd02465_c,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
123,D-erythro-imidazol-glycerol-phosphate,cpd02843_c,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
124,Cd2,cpd01012_c,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
125,6-methyl-trans-hept-2-enoyl-ACP,cpd11552_c,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
126,Spermidine,cpd00264_e,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
127,Octadecanoyl-ACP,cpd15268_c,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
128,Glycerophosphoglycerol,cpd02090_c,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
129,fa12,cpd11433_c,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
130,Cbl,cpd00635_e,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
131,hexadecenoate,cpd15237_c,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
132,fa6,cpd11440_c,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
133,Inositol_3-phosphate,cpd02484_c,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
134,Amylotriose,cpd01262_e,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,dCMP,cpd00206_c,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,fa4,cpd11438_c,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
137,Nicotinamide_ribonucleotide,cpd00355_c,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,fa3,cpd11436_c,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
139,LL-2_6-Diaminopimelate,cpd00504_c,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0
140,Farnesylfarnesylgeraniol,cpd02557_c,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
141,Zn2,cpd00034_e,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
142,fa1,cpd11430_c,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
143,Ferrichrome,cpd03724_e,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,L_Arabinonate,cpd00427_c,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Vitamin_B12r,cpd00423_e,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
146,UDP-galactose,cpd00043_c,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
147,UDP-glucose,cpd00026_c,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
148,Ornithine,cpd00064_c,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
149,Vitamin_B12,cpd03424_e,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
