id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn05409_c0	=>	c0	(AAA028C09.genome.CDS.505) and ()	2-methylpropionyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11492[c0] + (1) cpd11545[c0] => (1) cpd11493[c0] + (1) cpd00011[c0] + (1) cpd11546[c0]
rxn10481_c0	=>	c0	(AAA028C09.genome.CDS.453) or (AAA028C09.genome.CDS.611) or (AAA028C09.genome.CDS.487)	Copper transport via ABC system_c0	Unknown	Unknown	None	(1) cpd00058[e0] + (1) cpd00002[c0] + (1) cpd00001[c0] => (1) cpd00058[c0] + (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
rxn10344_c0	=>	c0	(AAA028C09.genome.CDS.453) or (AAA028C09.genome.CDS.487)	Lead (Pb+2) ABC transporter_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd04097[c0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd04097[e0]
rxn05404_c0	=>	c0	(AAA028C09.genome.CDS.505) and ()	13-methyl-tetra-decanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd11540[c0] + (1) cpd00067[c0] + (1) cpd11492[c0] => (1) cpd11541[c0] + (1) cpd11493[c0] + (1) cpd00011[c0]
rxn05375_c0	=>	c0	(AAA028C09.genome.CDS.505) and ()	10-methyl-dodecanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd11511[c0] + (1) cpd00067[c0] + (1) cpd11492[c0] => (1) cpd11493[c0] + (1) cpd00011[c0] + (1) cpd11512[c0]
rxn02303_c0	<=>	c0	AAA028C09.genome.CDS.440	Coproporphyrinogen:oxygen oxidoreductase(decarboxylating)_c0	Unknown	Unknown	None	(2) cpd00067[c0] + (1) cpd02083[c0] + (1) cpd00007[c0] <=> (2) cpd00001[c0] + (2) cpd00011[c0] + (1) cpd00791[c0]
rxn01353_c0	<=>	c0	AAA028C09.genome.CDS.565	ATP:nucleoside-diphosphate phosphatransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00295[c0] <=> (1) cpd00241[c0] + (1) cpd00008[c0]
rxn05379_c0	=>	c0	(AAA028C09.genome.CDS.505) and ()	12-methyl-tetra-decanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd11515[c0] + (1) cpd00067[c0] + (1) cpd11492[c0] => (1) cpd11493[c0] + (1) cpd00011[c0] + (1) cpd11516[c0]
rxn05667_c0	<=>	c0		Urea transport via facilitate diffusion_c0	Unknown	Unknown	None	(1) cpd00073[e0] <=> (1) cpd00073[c0]
rxn05384_c0	=>	c0	(AAA028C09.genome.CDS.505) and ()	3-methylbutanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11520[c0] + (1) cpd11492[c0] => (1) cpd11521[c0] + (1) cpd11493[c0] + (1) cpd00011[c0]
rxn05183_c0	=>	c0	(AAA028C09.genome.CDS.540) and () and ()	D-Methionine-ABC transport_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd00637[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd00637[c0]
rxn05528_c0	=>	c0	(AAA028C09.genome.CDS.453) or (AAA028C09.genome.CDS.611) or (AAA028C09.genome.CDS.487)	Copper export via ATPase_c0	Unknown	Unknown	None	(1) cpd00058[c0] + (1) cpd00002[c0] + (1) cpd00001[c0] => (1) cpd00058[e0] + (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
rxn00237_c0	<=>	c0	AAA028C09.genome.CDS.565	ATP:nucleoside-diphosphate phosphatransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00031[c0] <=> (1) cpd00038[c0] + (1) cpd00008[c0]
rxn02003_c0	<=>	c0	AAA028C09.genome.CDS.489	dTDP-6-deoxy-L-mannose:NADP+ 4-oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd02113[c0] <=> (1) cpd00522[c0] + (1) cpd00067[c0] + (1) cpd00005[c0]
rxn05343_c0	=>	c0	(AAA028C09.genome.CDS.505) and ()	Octanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein]_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11492[c0] + (1) cpd11470[c0] => (1) cpd11493[c0] + (1) cpd00011[c0] + (1) cpd11487[c0]
rxn10571_c0	=>	c0		magnesium transport via ABC system_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd00254[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd00254[c0]
rxn05195_c0	=>	c0		Fe3+-ABC transport_c0	Unknown	Unknown	None	(1) cpd10516[e0] + (1) cpd00002[c0] + (1) cpd00001[c0] => (1) cpd10516[c0] + (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
rxn00062_c0	=>	c0		ATP phosphohydrolase (protein-secreting)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
rxn01208_c0	<=	c0		2-Oxo-4-methyl-3-carboxypentanoate decarboxylation_c0	Unknown	Unknown	None	(1) cpd00011[c0] + (1) cpd00200[c0] <= (1) cpd02605[c0] + (1) cpd00067[c0]
rxn04132_c0	=>	c0		rxn04132_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd08625[c0] => (1) cpd00011[c0] + (1) cpd01567[c0]
rxn04133_c0	=>	c0		rxn04133_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd08625[c0] => (1) cpd01092[c0] + (1) cpd00011[c0]
rxn05319_c0	<=	c0		H2Ot5_c0	Unknown	Unknown	None	(1) cpd00001[e0] <= (1) cpd00001[c0]
rxn05467_c0	<=>	c0		CO2 transport via diffusion_c0	Unknown	Unknown	None	(1) cpd00011[e0] <=> (1) cpd00011[c0]
rxn05468_c0	<=>	c0		O2 transport via diffusion_c0	Unknown	Unknown	None	(1) cpd00007[e0] <=> (1) cpd00007[c0]
rxn02374_c0	=>	c0		L-glutamate 5-semialdehyde dehydratase (spontaneous)_c0	Unknown	Unknown	None	(1) cpd00858[c0] => (1) cpd00067[c0] + (1) cpd00001[c0] + (1) cpd02431[c0]
rxn05116_c0	=>	c0		rxn05116_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd04539[c0] => (1) cpd00011[c0] + (1) cpd08449[c0]
rxn03012_c0	=>	c0		rxn03012_c0	Unknown	Unknown	None	(1) cpd02414[c0] => (1) cpd00067[c0] + (1) cpd00001[c0] + (1) cpd02465[c0]
rxn05064_c0	<=>	c0		carbamate hydro-lyase_c0	Unknown	Unknown	None	(2) cpd00067[c0] + (1) cpd01101[c0] <=> (1) cpd00013[c0] + (1) cpd00011[c0]
rxn02666_c0	<=	c0		L-2-amino-3-oxobutanoate decarboxylation (spontaneous)_c0	Unknown	Unknown	None	(1) cpd01298[c0] + (1) cpd00011[c0] <= (1) cpd02211[c0] + (1) cpd00067[c0]
rxn04457_c0	=>	c0		rxn04457_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd09027[c0] => (1) cpd00011[c0] + (1) cpd01567[c0]
rxn04456_c0	=>	c0		rxn04456_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd09027[c0] => (1) cpd01092[c0] + (1) cpd00011[c0]
rxn01664_c0	<=	c0		2-Aminoadipate 6-semialdehyde_c0	Unknown	Unknown	None	(1) cpd00352[c0] + (1) cpd00067[c0] + (1) cpd00001[c0] <= (1) cpd02522[c0]
rxn02916_c0	=>	c0		6-Amino-2-oxohexanoate cyclation_c0	Unknown	Unknown	None	(1) cpd02074[c0] => (1) cpd00922[c0] + (1) cpd00067[c0] + (1) cpd00001[c0]
